Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 0,'کیا آپ ایک جملے میں آج کی عالمی خبروں کا خلاصہ کرسکتے ہیں؟','Can you summarize today’s world news in one sentence?',"'\n\nکیا آپ کو ایسی خبروں کا خیال ہے جو آپ کو اپنی زندگی میں کبھی نہیں دیکھیں گے؟\n\nکیا آپ کو ایسی
خبروں کا خیال ہے جو آپ کو اپنی زندگی میں کبھی نہیں دیکھیں گے؟\n\nکی'","'\n\n<h2>1. The US and China are in talks to resume trade talks</h2>\n\nThe US and China are in
talks to resume trade talks, which were suspended in May, after the US President Donald Trump said
that the two countries are in talks to resume trade talks.\n\n<h2>2. The US and China are in'",۔ امریکہ اور چین تجارتی بات چیت بحال کرنے کے بارے میں بات چیت میں ہیں ۔ امریکی اور چین تجارتی بات چیت بحال کرنے کے بارے میں بات چیت میں ہیں ، جو مئی میں امریکی صدر ٹرمپ کے اعلان کے بعد معطل کی گئی تھیں ۔ دونوں ممالک تجارتی بات چیت بحال کرنے کے سلسلے میں بات چیت میں ہیں ۔
Query 1,'مختلف فلسفوں کے مطابق زندگی کا کیا مطلب ہے؟',"""What's the meaning of life according to different philosophies?""","' زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا
کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب ہے؟
زندگی کا کیا مطلب ہے؟ زندگی کا کیا مطلب'","'\n\n<strong><em>Life is a journey, not a destination.</em></strong>\n\n<strong><em>Life is a
journey, not a destination.</em></strong>\n\n<strong><em>Life is a journey, not a
destination.</em></strong>\n\n<strong><em>Life is a journey, not a
destination.</em></strong>\n\n<strong><em>Life is a journey,'",زندگی ایک سفر ہے ، مقصد نہیں ۔ زندگی ایک سفر ہے ، مقصد نہیں ۔
Query 2,'کیا آپ سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے ہیں؟','Can you help me brainstorm ideas for a sci-fi novel?',"'\n\n[User 0001]\n\nکیا آپ سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے
ہیں؟\n\n[User 0002]\n\nبچوں کے لئے بہت اچ'","'\n\n[User 0001]\n\nI am a science fiction fan and I am looking for a book which is about a group of
people who are living in a world where they have to face a mental storm which is caused by the
people who are living in the past and they are trying to control the present'",اس گروپ کے بارے میں جو لوگ ایک ایسی دنیا میں رہتے ہیں جہاں انہیں دماغی طوفان کا سامنا کرنا پڑتا ہے جو کہ ماضی میں رہنے والے لوگوں کی وجہ سے ہوتا ہے اور وہ ماضی کو قابو میں رکھنے کی کوشش کر رہے ہیں ۔
Query 3,'انسانی دماغ کے بارے میں ایک انوکھی حقیقت کیا ہے؟',"""What's a unique fact about the human brain?""","' یہ حقیقت یہ ہے کہ انسان کے دماغ میں ایک بڑی تعداد میں ایک خاص قسم کے پلانٹوں کی موجودگی ہے۔ یہ
پلانٹوں کی ایک خاص قسم ہے جو کہ انسان کے دماغ میں موجود ہیں اور انہیں انسان کے دماغ میں پلانٹوں'","'\n\n[User 0001]\n\n<b><i><u>\nThe Human Brain is the most complex organ in the human body. It is
the most complex organ in the human body. It is the most complex organ in the human body. It is the
most complex organ in the human body. It is the most'",یوزر ؍ یوزر ؍ یوزر : انسانی جسم میں سب سے زیادہ قسم کے اعضا موجود ہیں ۔ یہ اعضا انسانی جسم میں سب سے زیادہ قسم کے اعضا موجود ہیں ، یہ اعضا انسانی جسم میں سب سے زیادہ قسم کے اعضا موجود ہیں ، یہ اعضا سب سے زیادہ قسم کے اعضا ہیں
Query 4,'بلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟','How does blockchain technology work?',"'\n\nبلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟\n\nبلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟\n\nبلاکچین ٹیکنالوجی
کیسے کام کرتی ہے؟\n\nبلاکچین ٹیکنالوجی کیسے کام'","'\n\nWhat is Blockchain Technology?\n\nWhat is Blockchain Technology?\n\nWhat is Blockchain
Technology?\n\nWhat is Blockchain Technology?\n\nWhat is Blockchain Technology?\n\nWhat is
Blockchain Technology?\n\nWhat is Blockchain Technology?\n\nWhat is Blockchain Technology?\n\nWhat
is Blockchain Technology?\n\nWhat is Blockchain Technology?\n\nWhat is Blockchain'",کیا ہے ڈی بلاک ٹکنالوجی ؟ کیا ہے ڈی بلاک ٹکنالوجی ؟ کیا ہے ڈی بلاک ٹکنالوجی ؟ کیا ہے ڈی بلاک ٹکنالوجی ؟ کیا ہے ڈی بلاک ٹکنالوجی ؟ کیا ہے ڈی بلاک ٹکنالوجی ؟
Query 5,'ذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟',"""What's the best way to practice mindfulness?""","'\n\n[User 0001]\n\nذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟\n\n[User 0002]\n\nیہی ہے جو آپ نے
لکھا ہے\n\n[User 0003]\n\nیہی ہے جو آپ نے ل'","'\n\n[User 0001]\n\nI am a 16 year old girl and I am very much worried about my mental health. I am
not able to concentrate on my studies and I am not able to do anything properly. I am very much
depressed and I am not able to do anything properly.'",یوزر وائی فائی : میں ایک 16 سالہ لڑکی ہوں اور مجھے اپنی ذہنی صحت کے بارے میں بہت زیادہ پریشانی ہے ۔ مجھے اپنے مطالعے پر توجہ نہیں مل پاتی اور کچھ نہیں کر پاتی ۔ میں بہت ہی افسردہ ہوں اور کچھ نہیں کر پاتی ۔
Query 6,'مشین لرننگ ماڈل کو کس طرح تربیت دی جاتی ہے؟','How are machine learning models trained?',"'\n\n[User 0001]\n\nمشین لرننگ کو کس طرح تربیت دی جاتی ہے؟\n \n\n[User 0002]\n\nمشین لرننگ کو تربیت
دی جاتی ہے کہ وہ کس طرح کام کرے۔\n \n\n[User 0'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 7,'کیا آپ نئی زبان سیکھنے کے کچھ فوائد کی فہرست دے سکتے ہیں؟','Can you list some benefits of learning a new language?',"'\n\nکیا آپ کو یہ جاننا چاہیے کہ آپ کی زبان سیکھنے کے کچھ فوائد ہیں؟\n\nکیا آپ کو یہ جاننا چاہیے کہ
آپ کی زبان سیکھنے کے کچھ فوائد ہیں؟\n\nکیا آپ کو یہ جاننا چاہ'","'\n\nWell, It is a fact that learning a new language is a great way to expand your horizons and open
up new opportunities. Here are some of the benefits of learning a new language:\n\n1. Improved
communication skills: Learning a new language helps in improving communication skills as it requires
the use of different grammatical rules and'",بھلا یہ ایک حقیقت ہے کہ نئی زبان سیکھنا اپنے دائرہ کار میں توسیع کرنے اور نئے مواقع پیدا کرنے کا ایک بہترین طریقہ ہے ۔ نئی زبان سیکھنے کے کچھ فوائد درج ذیل ہیں : ۔ بہتر مواصلاتی صلاحیتوں کو بہتر بنانے میں نئی زبان سیکھنا مدد دیتا ہے کیونکہ اس میں مختلف گرامٹ قوانین کا استعمال کرنا پڑتا ہے ۔
Query 8,'شیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟',"""What's a summary of Shakespeare’s Hamlet?""","'\n\nشیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟\n\nشیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟\n\nشیکسپیئر کے
ہیملیٹ کا خلاصہ کیا ہے؟\n\nشیکسپیئر کے ہیملیٹ کا خلاص'","'\n\n[User 0001]\n\nI am reading the book ""The Seven Seas"" by H.G. Wells. I am stuck at the
following passage:\n\n""The first thing that struck me was the fact that the people of this country
were not at all like the people of the country from which'",میں ایچ جی Wellس کی کتاب ان Seven سمندروں کو پڑھ رہا ہوں ۔ میں درج ذیل بیت پر پھنس گیا ہوں :
Query 9,'کیا آپ میرے لئے بے ترتیب لطیفہ تیار کرسکتے ہیں؟','Can you generate a random joke for me?',"'\n\n[User 0001]\n\nکیا آپ میرے لئے بے ترتیب لطیفہ تیار کرسکتے ہیں؟\n\n[User 0002]\n\nبے ترتیب
لطیفہ\n\n[User 0003]\n\nبے ترتیب لطیف'","'\n\nI am not sure what you are asking for.\n\nI am not sure what you are asking for.\n\nI am not
sure what you are asking for.\n\nI am not sure what you are asking for.\n\nI am not sure what you
are asking for.\n\nI am not sure what you are asking'",مجھے معلوم نہیں کہ تم کیا مانگ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا مانگ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا مانگ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا مانگ رہے ہو ۔ مجھے معلوم نہیں کہ تم کیا مانگ رہے ہو ۔
