Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 0,'کیا آپ ایک جملے میں آج کی عالمی خبروں کا خلاصہ کرسکتے ہیں؟','Can you summarize today’s world news in one sentence?',' آج کے لیے یہاں کلک کریں\nکیا آپ ایک جملے میں آج کی عالمی خبروں کا خلاصہ کرسکتے ہیں؟ آج ک',"' Here is a summary of today’s news in a single sentence.\nThe United States has announced that it
will withdraw from the Intermediate-Range Nuclear Forces Treaty (INF) with Russia. The US has
accused Russia of violating the treaty by developing and deploying a ground-launched cruise missile
system. The US has given Russia until February'",ایک ہی لفظ میں آج کی خبروں کا خلاصہ ہے ۔ امریکہ نے اعلان کیا ہے کہ وہ روس کے ساتھ درمیانہ درجے کی بحری افواج کے معاہدے ( آئی این ایف ) سے نکھرے گا ۔ امریکہ نے روس پر اس معاہدے کے خلاف الزامات عائد کیے ہیں کہ وہ زمینی طور پر کھولے گئے کروز میزائل سسٹم تیار کرکے اس معاہدے کے خلاف کام کر رہے ہیں ۔ امریکہ نے روس کو فروری تک اس معاہدے سے نکھرائے رکھا ہے ۔
Query 1,'مختلف فلسفوں کے مطابق زندگی کا کیا مطلب ہے؟',"""What's the meaning of life according to different philosophies?""","' کیا زندگی صرف ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے،
یا'","' What is the meaning of life according to different philosophies?\nWhat is the meaning of life
according to different philosophies?\nWhat is the meaning of life according to different
philosophies?\nWhat is the meaning of life according to different philosophies?\nWhat is the meaning
of life according to different philosophies?\nWhat is the meaning'",مختلف فلسفوں کے مطابق زندگی کا معنی کیا ہے ؟ مختلف فلسفوں کے مطابق زندگی کا معنی کیا ہے ؟ مختلف فلسفوں کے مطابق زندگی کا معنی کیا ہے ؟ مختلف فلسفوں کے مطابق زندگی کا معنی کیا ہے ؟ مختلف فلسفوں کے مطابق زندگی کا معنی کیا ہے ؟
Query 2,'کیا آپ سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے ہیں؟','Can you help me brainstorm ideas for a sci-fi novel?',' ہم آپ کو ایک سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے ہیں۔\nکیا آپ سائ',"' I need help with my ideas for a science fiction novel\nI am writing a science fiction novel and I
need help with my ideas for a story. I have a few ideas but I need help with the rest. I am looking
for a story that is set in the future and has a lot of action and adventure.'",مجھے ایک سائنسی ناول کے لئے اپنے خیالات کی مدد کرنا ہے ۔ میں ایک سائنسی ناول لکھ رہا ہوں اور مجھے ایک کہانی کے لئے اپنے خیالات کی مدد کرنا ہے ۔ میرے پاس کچھ نظریات ہیں لیکن مجھے باقی لوگوں کی مدد کرنا ہے ۔
Query 3,'انسانی دماغ کے بارے میں ایک انوکھی حقیقت کیا ہے؟',"""What's a unique fact about the human brain?""",' ہم کے دماغ کے بارے میں کیا سوچتے ہیں؟ ہم کے دماغ کے بارے میں کیا سوچتے ہیں؟',"' What is a human brain? What is a human brain? What is a human brain? What is a human brain? What
is a human brain? What is a human brain? What is a human brain? What is a human brain? What is a
human brain? What is a human brain? What is a human'",انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟ انسان کا دماغ کیا ہے ؟
Query 4,'بلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟','How does blockchain technology work?',' اور اس کے فوائد کیا ہیں؟\nبلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟ اور اس کے فوائد کیا ہیں؟\nبلاکچین',"' What is Blockchain Technology?\nBlockchain is a digital ledger that records transactions across
many computers simultaneously. It is a decentralized, distributed, and shared ledger that is used to
record transactions across different computers. It is a technology that allows for secure,
transparent, and tamper-proof transactions. It is a distributed ledger technology that is used'",Blockchain ٹکنالوجی کیا ہے ؟ Blockchain ایک ڈیجیٹل ٹکنالوجی ہے جس میں کئی کمپیوٹروں میں ایک ساتھ لین دین ریکارڈ کیا جاتا ہے ۔ یہ ایک مرکزی مربوط ، تقسیم شدہ اور مشترکہ ٹکنالوجی ہے جسے مختلف کمپیوٹروں میں لین دین ریکارڈ کرنے کے لئے استعمال کیا جاتا ہے ۔ یہ ایک ایسا ٹکنالوجی ہے جو محفوظ ، شفاف اور بھروسے پر مبنی لین دین ریکارڈ کرنے
Query 5,'ذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟',"""What's the best way to practice mindfulness?""","' - How to do mental work best?\nذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟ - How to do mental
work best?\nذہن سازی پر عمل کرنے کا بہترین طریقہ'","' (How to do best thinking?)\nThe best way to do thinking is to think about thinking. The best way
to do thinking is to think about thinking. The best way to do thinking is to think about thinking.
The best way to do thinking is to think about thinking. The best way to do thinking is to think'",( بہترین سوچ کرنے کا طریقہ کیا ہے ؟ ) بہترین سوچ کرنے کا طریقہ فکر کے بارے میں سوچنا ہے ۔ فکر کے بارے میں سوچنے کا بہترین طریقہ فکر کے بارے میں سوچنا ہے ۔ فکر کے بارے میں سوچنے کا بہترین طریقہ فکر کے بارے میں سوچنا ہے ۔ فکر کے بارے میں سوچنے کا بہترین طریقہ فکر کے بارے میں سوچنا ہے
Query 6,'مشین لرننگ ماڈل کو کس طرح تربیت دی جاتی ہے؟','How are machine learning models trained?',"'\n\nمشین لرننگ ماڈل کو کس طرح تربیت دی جاتی ہے؟\n\nمشین لرننگ ماڈل کو کس طرح تربیت دی جاتی
ہے؟\n\nمشین لرننگ ماڈل کو کس طرح'","' (How is the machine learning model trained?)\nMachine learning is a subset of artificial
intelligence (AI) that provides systems the ability to automatically learn and improve from
experience without being explicitly programmed. Machine learning focuses on the development of
computer algorithms that can access data and use it learn for themselves. Machine learning
algorithms build a model from'",( مشین لرننگ ماڈل کو کیسے تربیت دی گئی ہے ؟ ) مشین لرننگ مصنوعی ذہانت ( آرٹی فیشیل انٹلی جنس ) کا ایک ذیلی جزو ہے ، جو نظام کو خودکار طور پر سیکھنے اور بہتری کے قابل دیتا ہے بغیر کسی پروگرام کے ۔ مشین لرننگ انفارمیشن انفارمیشن کی ترقی پر توجہ مرکوز کرتا ہے ، تاکہ وہ ڈیٹا تک رسائی حاصل کرسکیں اور اسے اپنے لئے سیکھ سکیں ۔ مشین لرننگ الگ
Query 7,'کیا آپ نئی زبان سیکھنے کے کچھ فوائد کی فہرست دے سکتے ہیں؟','Can you list some benefits of learning a new language?',"' آپ نے کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا
کیا کیا کیا کیا کیا کیا کیا'","' I can speak English, French, Spanish, German, Italian, Japanese, Chinese, Arabic, Russian,
Portuguese, Dutch, Swedish, Danish, Norwegian, Finnish, Polish, Czech, Slovak, Hungarian, Romanian,
Bulgarian, Serbian, Croatian, Bosnian, Macedonian, Albanian, Greek, Turkish, Hebrew'",مجھے انگریزی ، فرانسی ، روسی ، جرمن ، جاپانی ، جاپانی ، Arabic ، روسی ، پرتگالی ، Dutch ، Swedish ، Danish ، Norwegian ، Finnish ، Polish ، Czech ، Slovak ، Hungarian ، قبرصی ، Bulgariaی ، ایرانی ، Croatiaی ، Bosniن ، Macedoniaی ، Albaniaی ، یونانی ، ترکی ، عربی ، عمانی ، عمانی اور عمانی زبانیں بول سکتے ہیں ۔
Query 8,'شیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟',"""What's a summary of Shakespeare’s Hamlet?""","' (Hamlet Summary in Urdu)\nشیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟ (Hamlet Summary in Urdu)\nشیکسپیئر
کے ہیملیٹ کا خلاص'","' What is the summary of Hamlet by Shakespeare?\nHamlet is a tragedy written by William Shakespeare
about a prince who is consumed by grief after the accidental death of his father. The play is set in
Denmark and revolves around Hamlet’s quest for revenge against his uncle, who has usurped the throne
and married his mother'",کیا ہے Shakespeare کے Hamlet کا خلاصہ ؟ Hamlet ایک قصہ ہے جس میں ایک شہزادے کا لکھا گیا ہے ، جو اپنے والد کی حادثانہ موت کے بعد غم میں پڑ جاتا ہے ۔ یہ فلم Denmark میں لکھی گئی ہے اور اس میں Hamlet کے اپنے چچا کے خلاف انتقام لینے کی کوششوں کا موضوع ہے ، جس نے اس کے تخت کو توڑ دیا ہے اور اس کی ماں کو شادی کر دی ہے ۔
Query 9,'کیا آپ میرے لئے بے ترتیب لطیفہ تیار کرسکتے ہیں؟','Can you generate a random joke for me?',' آپ کے لئے بے ترتیب لطیفہ کے لئے کچھ اچھے لطیفے ہیں۔\nکیا آپ میرے لئے بے ترتیب لطیف',"' I want to know if you can make a random joke for me?\nI want to know if you can make a random joke
for me?\nI want to know if you can make a random joke for me? I want to know if you can make a
random joke for me? I want to know if you can make'",اگر آپ میرے لئے کوئی تمثیل میک کر سکتے ہیں ؟ اگر آپ میرے لئے کوئی تمثیل میک کر سکتے ہیں ؟ اگر آپ مجھے کوئی تمثیل میک کر سکتے ہیں ؟
Query 10,'کیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟','Can you provide a recipe for classic brownies?',' کیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟\nکیا آپ کلاسک براؤنیز کے لئے ایک نسخ�',"' I have a brownie recipe that I would like to share with you. It is a very simple recipe that can
be made in a few minutes. The ingredients are: 1 cup of brown sugar 1/2 cup of butter 1/2 cup of
flour 1/2 cup of milk 1/'",میرے پاس ایک brownie ریگول ہے جسے میں آپ کے ساتھ شیئر کرنا چاہتا ہوں ۔ یہ ایک بہت ہی آسان ریگول ہے جسے چند منٹ میں تیار کیا جا سکتا ہے ۔ اس ریگول کے ingredients یہ ہیں : ایک پیالہ ناریل کا پیالہ مٹھی کا پیالہ مٹھی کا پیالہ دودھ کا پیالہ
Query 11,'انسانی جسم میں ویکسین کیسے کام کرتی ہے؟','How do vaccines work in the human body?',"' (How does a vaccine work in the human body?)\nانسانی جسم میں ویکسین کیسے کام کرتی ہے؟ (How does a
vaccine work in the human body?)\nانسانی جسم میں ویکسین کیسے کام کرتی �'","' What is the mechanism of action of a vaccine in human body?\nA. It is a protein that is injected
into the body to stimulate the immune system to produce antibodies against a specific antigen.\nB.
It is a protein that is injected into the body to stimulate the immune system to produce antibodies
against a specific antigen.\nC'",انسان کی بدن میں ویکسین کا اثر کا میکانزم کیا ہے ؟ یہ ایک پروٹین ہے جس کو جسم میں داخل کیا جاتا ہے تاکہ ایک مخصوص اینٹیجن کے خلاف انٹیجکٹ بنائے جاسکیں ۔ یہ ایک پروٹین ہے جس کو جسم میں داخل کیا جاتا ہے تاکہ ایک مخصوص اینٹیجن کے خلاف انٹیجکٹ بنائے جاسکیں ۔
