english_question,urdu_question
Can you describe the differences between cats and dogs as pets?,کیا آپ بلیوں اور کتوں کے مابین پالتو جانوروں کی طرح فرق بیان کرسکتے ہیں؟
Can you explain quantum computing in simple terms?,کیا آپ کوانٹم کمپیوٹنگ کو آسان الفاظ میں سمجھا سکتے ہیں؟
Can you suggest some techniques for creative writing?,کیا آپ تخلیقی تحریر کے لئے کچھ تکنیک تجویز کرسکتے ہیں؟
What's a summary of recent Nobel Prize-winning research?,حالیہ نوبل انعام یافتہ تحقیق کا خلاصہ کیا ہے؟
How does climate change impact ocean levels?,آب و ہوا میں تبدیلی سمندر کی سطح کو کس طرح متاثر کرتی ہے؟
Can you give a brief history of the Internet?,کیا آپ انٹرنیٹ کی ایک مختصر تاریخ دے سکتے ہیں؟
Can you help me draft a professional email?,کیا آپ کسی پیشہ ور ای میل کا مسودہ تیار کرنے میں میری مدد کرسکتے ہیں؟
Can you recommend a few influential books in psychology?,کیا آپ نفسیات میں کچھ بااثر کتابوں کی سفارش کرسکتے ہیں؟
What are the biggest challenges in renewable energy?,قابل تجدید توانائی میں سب سے بڑے چیلنج کیا ہیں؟
What's the purpose of dark matter in the universe?,کائنات میں تاریک مادے کا مقصد کیا ہے؟
Can you generate a poem about autumn?,کیا آپ خزاں کے بارے میں ایک نظم تیار کرسکتے ہیں؟
Can you explain the basics of relativity theory?,کیا آپ رشتہ داری کے نظریہ کی بنیادی باتوں کی وضاحت کرسکتے ہیں؟
Can you generate a fun fact about space exploration?,کیا آپ خلائی ریسرچ کے بارے میں کوئی تفریحی حقیقت پیدا کرسکتے ہیں؟
How does neural networking relate to deep learning?,اعصابی نیٹ ورکنگ گہری سیکھنے سے کیسے متعلق ہے؟
Can you explain the concept of time dilation?,کیا آپ وقت بازی کے تصور کی وضاحت کرسکتے ہیں؟
How can I improve my time management skills?,میں اپنی ٹائم مینجمنٹ کی مہارت کو کس طرح بہتر بنا سکتا ہوں؟
